method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
538-squared,1994,3,32-35,13,6.804479004221265,5.838302100985592,-3.7371521865635398,5.686354548685069
SPS,1994,3,<=23,39,6.209984103586226,4.603924010168881,-0.442725949405783,6.194182456185511
carmelo-linear,1994,3,<=23,39,6.199003862987237,4.530345600404242,-0.4166510242434687,6.184985918927184
carmelo-squared,1994,3,<=23,39,6.206097920707566,4.527088918054325,-0.4312026875901799,6.191099711975714
538-linear,1994,3,<=23,39,6.108710504191325,4.480740979008223,-0.14182632986895782,6.107063886694926
538-squared,1994,3,<=23,39,6.110690737779187,4.513020454407832,-0.0602847487397425,6.110393362284437
SPS,1994,4,24-27,80,7.804481351732368,6.141223721621624,2.00364420124627,7.542899912126004
carmelo-linear,1994,4,24-27,80,7.426715815088685,5.6957066841379005,0.05846775790587744,7.426485664119594
carmelo-squared,1994,4,24-27,80,7.418790271451553,5.687457404696207,0.06284722744404192,7.418524065997683
538-linear,1994,4,24-27,80,7.040047748070911,5.421149740004443,0.11416099744132238,7.039122073226285
538-squared,1994,4,24-27,80,6.9616589456876445,5.375291652956198,0.21976720126442134,6.958189251042343
SPS,1994,4,28-31,49,5.700190873027173,4.532271261356505,1.9399163162940016,5.359934764035716
carmelo-linear,1994,4,28-31,49,6.124531463837032,4.9709346263192415,-2.509701443304471,5.586706034597241
carmelo-squared,1994,4,28-31,49,6.095513533755991,4.940060947082333,-2.474439299592388,5.570676385577895
538-linear,1994,4,28-31,49,5.544378984596515,4.408235579517841,-2.5403309701248777,4.928169729936244
538-squared,1994,4,28-31,49,5.54495257300625,4.409783004504522,-2.5326093105600367,4.932787155042599
SPS,1994,4,32-35,11,3.265363513251958,2.67773944781803,1.3831265857808384,2.9579654699444027
carmelo-linear,1994,4,32-35,11,4.905175309946974,3.3919038155963595,-0.9839033745708801,4.805484259762114
carmelo-squared,1994,4,32-35,11,4.931034333916024,3.3464660035264626,-0.8497146640090029,4.857271311346188
538-linear,1994,4,32-35,11,4.554918394270896,3.789695877824552,-1.3659520439011805,4.345279805976773
538-squared,1994,4,32-35,11,5.033305587248345,4.195307903504732,-1.7715640695813597,4.711234008409447
SPS,1994,4,<=23,37,5.756799940399941,4.543134317279428,0.09550946533288492,5.756007600396354
carmelo-linear,1994,4,<=23,37,5.791719583299478,4.514724229777009,-0.02025242042301637,5.7916841739723415
carmelo-squared,1994,4,<=23,37,5.800047820959685,4.521743050673724,-0.03447213654544525,5.799945378813595
538-linear,1994,4,<=23,37,5.666684231752001,4.509736828973244,0.3205842471440181,5.65760867530354
538-squared,1994,4,<=23,37,5.7719092068368285,4.617443368631228,0.5065128173373525,5.7496417851759025
SPS,1994,5,24-27,61,6.63982683553887,5.106694472998903,0.9886682948975829,6.565808054505282
carmelo-linear,1994,5,24-27,61,7.045142025907784,5.222200124032271,-1.4771807425529464,6.8885385401435295
carmelo-squared,1994,5,24-27,61,7.042643554040511,5.223471259692252,-1.461198918859767,6.889392277174484
538-linear,1994,5,24-27,61,6.350580717335269,4.853696563956847,-1.5745404467913588,6.152292079283023
538-squared,1994,5,24-27,61,6.352479380212561,4.943497355648427,-1.5020067138576518,6.172355312808255
SPS,1994,5,28-31,43,5.5044191063230405,4.497417209988662,1.2956970691889582,5.349747545721132
carmelo-linear,1994,5,28-31,43,6.148772072600186,5.101909961016003,-3.173944853471146,5.266257880878226
carmelo-squared,1994,5,28-31,43,6.1279580967123675,5.100629131339827,-3.16215403461676,5.2490620396809575
538-linear,1994,5,28-31,43,5.924711895510848,4.962999537822111,-3.413984614048158,4.842201988749561
538-squared,1994,5,28-31,43,6.032893767984691,5.101435539313521,-3.5448503324395007,4.88158205261287
SPS,1994,5,32-35,7,3.6342679734012804,2.481286456788608,0.31445771039789705,3.6206380723377425
carmelo-linear,1994,5,32-35,7,3.0822473849295196,2.2838286809535417,-0.36751319985237846,3.06025864753931
carmelo-squared,1994,5,32-35,7,3.1570559322986216,2.281980025561037,-0.3133802809449782,3.1414638242667645
538-linear,1994,5,32-35,7,4.154667527195077,3.2891871238845494,-3.215908421323386,2.6304363301913596
538-squared,1994,5,32-35,7,4.312610840234772,3.521706377318451,-3.4484276747572875,2.5897796877878463
SPS,1994,5,<=23,37,7.218071333362629,5.872409641661927,2.9102360665189977,6.605382639230176
carmelo-linear,1994,5,<=23,37,7.232370229925588,5.845095743221064,2.735308916187715,6.6951672328432466
carmelo-squared,1994,5,<=23,37,7.234467065376968,5.8522418587846,2.728694947272256,6.700129670741822
538-linear,1994,5,<=23,37,6.833433665713891,5.714703630816484,2.7285386391475077,6.265053276580421
538-squared,1994,5,<=23,37,6.888550406341223,5.751549376366866,2.851786536502579,6.270521529420536
SPS,1995,1,24-27,101,5.304026776399329,4.198812041505137,-0.7758960923882817,5.2469691535759635
carmelo-linear,1995,1,24-27,101,5.231501494655156,4.155094218763389,-0.9148232772583271,5.150893734097556
carmelo-squared,1995,1,24-27,101,5.228102493657924,4.151902642643705,-0.9117435092851603,5.147987903780329
538-linear,1995,1,24-27,101,5.263706524161033,4.1596120460404595,-1.054368510989,5.157025636501167
538-squared,1995,1,24-27,101,5.261006184313828,4.1665969012872335,-1.0103054931204194,5.163087146461801
SPS,1995,1,28-31,71,4.21080967716072,3.2464953720735243,0.768834854560546,4.140025495535411
carmelo-linear,1995,1,28-31,71,4.307880260383067,3.42545158894778,-1.0104888376442023,4.1876896550239415
carmelo-squared,1995,1,28-31,71,4.309107399496292,3.429044355773405,-0.9935769760407472,4.192995513123693
538-linear,1995,1,28-31,71,4.201880460536858,3.2798880734905937,-1.2566609540963771,4.0095638978685715
538-squared,1995,1,28-31,71,4.1497216560158785,3.222898357893308,-1.271974387800576,3.9499710099172267
SPS,1995,1,32-35,25,3.1949109154444724,2.617465180936262,0.4679388386573106,3.1604570873375715
carmelo-linear,1995,1,32-35,25,4.276666571968142,3.663545971287584,-2.088872368784919,3.7318211632816247
carmelo-squared,1995,1,32-35,25,4.300425386458463,3.6785798657609132,-2.092079548642734,3.7572412308297736
538-linear,1995,1,32-35,25,4.252936893209297,3.406724158735274,-2.167207939355454,3.6593280756465982
538-squared,1995,1,32-35,25,4.284231190118921,3.3408705740739895,-2.1885053302553086,3.683080410448826
SPS,1995,1,<=23,37,4.771027891401515,3.853436469032316,-0.4250289385898943,4.752058242687302
carmelo-linear,1995,1,<=23,37,4.95669864873788,4.02400646183421,0.017328153984160592,4.956668359844081
carmelo-squared,1995,1,<=23,37,4.955202065405882,4.024070968381698,0.02054332652937781,4.955159480858091
538-linear,1995,1,<=23,37,4.7062144236152905,3.8407923004885602,-0.17369310059265852,4.703008070145225
538-squared,1995,1,<=23,37,4.692060750486232,3.825452999055923,-0.18055649594484569,4.688585441049948
SPS,1995,2,24-27,93,6.151112869885613,4.581736034114955,-0.24781713632058222,6.146118791970936
carmelo-linear,1995,2,24-27,93,6.177942351110131,4.58670054409124,-0.924000329631619,6.108452756998358
carmelo-squared,1995,2,24-27,93,6.1781535011410265,4.586053737794387,-0.9222555836541769,6.108929965393269
538-linear,1995,2,24-27,93,6.076110700578145,4.551128572258758,-0.9395175514796779,6.003034900460089
538-squared,1995,2,24-27,93,6.071871518727362,4.560256201245707,-0.8480393084092368,6.012358361851472
SPS,1995,2,28-31,67,5.061208467485815,3.9573698392692105,0.7829832583491788,5.0002768291860615
carmelo-linear,1995,2,28-31,67,5.510345458627617,4.272727616172582,-2.0234580416351977,5.125380437309981
carmelo-squared,1995,2,28-31,67,5.502532295267634,4.272584809392196,-1.9953891966105342,5.127990212014182
538-linear,1995,2,28-31,67,5.4433245200659535,4.080952887397464,-2.4278023877518953,4.871915167239414
538-squared,1995,2,28-31,67,5.38136742715086,4.016757767138046,-2.3930244348261676,4.820015502083491
SPS,1995,2,32-35,22,3.9288494032694428,3.1980537659878183,0.10705832594425026,3.9273905011364327
carmelo-linear,1995,2,32-35,22,4.607619432058601,3.789214223730083,-2.728006933328025,3.713237805796749
carmelo-squared,1995,2,32-35,22,4.631377560181809,3.7866875882478612,-2.755385715269723,3.7225673486242212
538-linear,1995,2,32-35,22,6.222042127088983,5.170467950940805,-3.9158938645285786,4.835243889714089
538-squared,1995,2,32-35,22,6.465645108947682,5.409441044122207,-4.123087593845034,4.980433251067648
SPS,1995,2,<=23,33,4.55461385328918,3.517954917069105,0.5301218581131376,4.523657609515157
carmelo-linear,1995,2,<=23,33,4.746155431480941,3.750916727428396,0.9958659146971668,4.640500238090761
carmelo-squared,1995,2,<=23,33,4.74785987223232,3.7592498263496688,0.9993575324893191,4.641493066741645
538-linear,1995,2,<=23,33,4.639934357906185,3.5576157747905404,0.8464799034838164,4.562067800753986
538-squared,1995,2,<=23,33,4.659789236872204,3.576297847926384,0.8776318583182269,4.576395749204273
SPS,1995,3,24-27,88,7.166000814149706,5.568130181819535,0.43813987304452623,7.1525940133662536
carmelo-linear,1995,3,24-27,88,7.298241545460313,5.596265992911361,-0.6310676278300307,7.27090663569461
carmelo-squared,1995,3,24-27,88,7.299336717941337,5.596350671586498,-0.6224939308149838,7.272744862016343
538-linear,1995,3,24-27,88,6.88365582231968,5.281045081858007,-0.8685464182832056,6.828641490036143
538-squared,1995,3,24-27,88,6.863272215370178,5.301822850398469,-0.7544897956430952,6.821675061928904
SPS,1995,3,28-31,60,5.56703321339385,4.198239514403462,1.9403455996487644,5.217941907778767
carmelo-linear,1995,3,28-31,60,5.818931802596075,4.724728314780293,-2.000931422536979,5.464086452973467
carmelo-squared,1995,3,28-31,60,5.813118735396826,4.7180100141405585,-1.964652766983013,5.471059215271535
538-linear,1995,3,28-31,60,5.763251037610694,4.672693683136568,-2.074721314463802,5.3768572595736925
538-squared,1995,3,28-31,60,5.775919727339108,4.658377934936527,-2.0157282049447725,5.412770870862279
SPS,1995,3,32-35,17,4.274534502484651,3.693927152860788,0.48597727106687344,4.246818963052003
carmelo-linear,1995,3,32-35,17,5.01084936380157,3.8216080860480237,-1.8071210603006334,4.673641494608728
carmelo-squared,1995,3,32-35,17,5.023979064500243,3.8427337401571284,-1.8300102944264491,4.678827626962757
538-linear,1995,3,32-35,17,5.700577158196828,4.929131174128827,-3.0280703470509405,4.829841602978945
538-squared,1995,3,32-35,17,6.006311282888567,5.25066561479072,-3.408988582028048,4.945156425691397
SPS,1995,3,<=23,29,3.8403823164425455,3.057561833724612,0.5201438478310682,3.8049949689859117
carmelo-linear,1995,3,<=23,29,4.225242675557511,3.4309544252671857,0.9650342012492096,4.113561067709059
carmelo-squared,1995,3,<=23,29,4.256193487889358,3.4556463659380565,0.9809386198639526,4.1416110911589925
538-linear,1995,3,<=23,29,3.904094758643067,2.9874536833535323,1.1376669585849257,3.7346579195166445
538-squared,1995,3,<=23,29,3.932391193735702,2.9972012834087383,1.1381257224037624,3.764089576587281
SPS,1995,4,24-27,75,7.726295196669538,6.054876536171892,1.0119611583117887,7.659737076437222
carmelo-linear,1995,4,24-27,75,7.505421387425948,5.907963662992819,-1.082226116757749,7.426987063071962
carmelo-squared,1995,4,24-27,75,7.492301573634233,5.891256508147438,-1.097945650618467,7.411416748407148
538-linear,1995,4,24-27,75,7.335785693664162,5.779402517875717,-0.8417173234722658,7.287335843141475
538-squared,1995,4,24-27,75,7.262285499904953,5.742464987491957,-0.7233659613488451,7.226169965347591
SPS,1995,4,28-31,49,4.744512915479484,3.931805495664122,1.027301384972289,4.631960132555725
carmelo-linear,1995,4,28-31,49,5.715770020037994,4.561977556603415,-3.3948262738306045,4.598389010563868
carmelo-squared,1995,4,28-31,49,5.6812047966404435,4.531824650902787,-3.357578859782012,4.582875968397498
538-linear,1995,4,28-31,49,5.8279609122721165,4.576556485308495,-3.5378116934992856,4.631308326629891
538-squared,1995,4,28-31,49,5.936069839673496,4.6253408969799645,-3.494323870769347,4.798606654816879
SPS,1995,4,32-35,15,4.974505454193508,3.8537140468633315,0.5212200696758597,4.947123826302315
carmelo-linear,1995,4,32-35,15,6.236637682424162,5.244719763156136,-1.5174323437746122,6.04921884741325
carmelo-squared,1995,4,32-35,15,6.247117409510442,5.239009818594667,-1.5438167020204296,6.053354930843823
538-linear,1995,4,32-35,15,6.653194463305336,5.659396053590724,-3.232223222762781,5.815301333962822
538-squared,1995,4,32-35,15,6.850848558836989,5.850920645071699,-3.4665657258425258,5.9090649044102355
SPS,1995,4,<=23,31,5.699391085127862,4.814650536838076,2.846225893789845,4.937819043135861
carmelo-linear,1995,4,<=23,31,6.032899705301667,4.961142755676551,2.8328858458825903,5.326409357008436
carmelo-squared,1995,4,<=23,31,6.0276421886179135,4.9408099091942415,2.8336141770540313,5.320065887712759
538-linear,1995,4,<=23,31,5.502447742134625,4.543357213594158,3.028939983223414,4.593740712420867
538-squared,1995,4,<=23,31,5.540085696063799,4.568642547954966,3.067620520366981,4.613269324758107
SPS,1995,5,24-27,84,8.069767462874864,6.479521710344802,2.0822217217195957,7.796505602285738
carmelo-linear,1995,5,24-27,84,7.513232580990191,5.793467916674478,-0.9386131686369241,7.454372484368748
carmelo-squared,1995,5,24-27,84,7.513440663892216,5.784740920815897,-0.9500972006024262,7.453127257684289
538-linear,1995,5,24-27,84,7.331017776408242,5.610232766058486,-0.7343488559252072,7.294145144964898
538-squared,1995,5,24-27,84,7.295053865510481,5.582028164544527,-0.6467453384289006,7.266328603078717
SPS,1995,5,28-31,44,5.374983176683933,4.3040096372156285,1.2904509063854128,5.2177754462840165
carmelo-linear,1995,5,28-31,44,5.915370695848602,4.869630841018526,-3.017250358940258,5.088006558641534
carmelo-squared,1995,5,28-31,44,5.894790226196893,4.861883163809934,-3.0186223589581185,5.06324706733382
538-linear,1995,5,28-31,44,5.935809006180583,4.925283425878134,-3.1593591055721024,5.025164534609107
538-squared,1995,5,28-31,44,6.059538888044214,5.055528995979546,-3.1767161350117523,5.160085864913112
SPS,1995,5,32-35,11,4.164133981352442,3.459641235300113,0.1989085855134424,4.159380625677719
carmelo-linear,1995,5,32-35,11,4.985326476604867,3.778135139859951,-0.7686844252948529,4.925708510726819
carmelo-squared,1995,5,32-35,11,4.924099937555174,3.697432662343179,-0.8048391977709664,4.857879584835574
538-linear,1995,5,32-35,11,5.3406079114463125,4.567391290620066,-2.3805109758112475,4.780717556794704
538-squared,1995,5,32-35,11,5.344053213337204,4.787271449990438,-2.5842433467647266,4.677669405984346
SPS,1995,5,<=23,33,6.994812707111154,5.393641966337497,1.472127516404655,6.838146341151815
carmelo-linear,1995,5,<=23,33,6.876344867911205,5.166410976888366,1.387251482389356,6.734957465868459
carmelo-squared,1995,5,<=23,33,6.873023144786791,5.167998860797546,1.3674895865979964,6.735608315462008
538-linear,1995,5,<=23,33,6.663855581069427,5.1145253443502074,1.2625750716479789,6.543154850208213
538-squared,1995,5,<=23,33,6.638122667774301,5.046380304551786,1.2988116170232473,6.509820345900835
SPS,1996,1,24-27,80,4.9636813715434185,3.886551884339623,-0.016183168403200866,4.963654990354143
carmelo-linear,1996,1,24-27,80,5.12577005271972,4.033302371089006,-0.4544924748513881,5.105580792002198
carmelo-squared,1996,1,24-27,80,5.1376736690393745,4.041214360029724,-0.462838415748721,5.116783299148766
538-linear,1996,1,24-27,80,4.929643379014143,3.877725543143151,-0.31767794213277745,4.919396768846792
538-squared,1996,1,24-27,80,4.9184593493247775,3.879549851068012,-0.2634511316919163,4.911398565802878
SPS,1996,1,28-31,67,4.920909248351703,3.677222680964321,0.4057364756034247,4.904153927323064
carmelo-linear,1996,1,28-31,67,5.064461790385365,3.8846797022822117,-1.3971187841920327,4.867939228167409
carmelo-squared,1996,1,28-31,67,5.061657977441631,3.8857827887038647,-1.3949152256260156,4.865654426068011
538-linear,1996,1,28-31,67,5.089460958799568,3.920688463928003,-1.620805957951113,4.8244793395572945
538-squared,1996,1,28-31,67,5.024009219131956,3.869103212593257,-1.5684368780283389,4.772910474078013
SPS,1996,1,32-35,36,2.936525933631892,2.352453696535689,0.12947107200821348,2.9336703632831176
carmelo-linear,1996,1,32-35,36,4.096059448219101,3.3994441625327485,-2.3579034307725957,3.3493274570420546
carmelo-squared,1996,1,32-35,36,4.122712287646406,3.4456339966561895,-2.3805808259804144,3.365945860777484
538-linear,1996,1,32-35,36,4.205299290577502,3.731575542373279,-2.8702167266983905,3.0734993191982993
538-squared,1996,1,32-35,36,4.174246728998835,3.639467688991562,-2.850671855746226,3.0492631446652547
SPS,1996,1,<=23,46,4.529374025299195,3.556870221673489,-1.600891614006548,4.237024321532571
carmelo-linear,1996,1,<=23,46,4.689638699746893,3.651659565502074,-1.1665150429175368,4.542241053578159
carmelo-squared,1996,1,<=23,46,4.695858991690273,3.6566775093007,-1.1646674716352288,4.549136330156879
538-linear,1996,1,<=23,46,4.600997689740526,3.5315748904189816,-1.4126421341207576,4.378769455212778
538-squared,1996,1,<=23,46,4.652785505757102,3.5926078529035643,-1.477821238014707,4.411854185153453
SPS,1996,2,24-27,76,5.927232960110745,4.601481460239921,0.031212514782344068,5.927150777763642
carmelo-linear,1996,2,24-27,76,6.273893118042638,4.7836191224314515,-0.9892658435048238,6.195408618283177
carmelo-squared,1996,2,24-27,76,6.264352593269317,4.7743514776365386,-0.9842635032144016,6.186544978341314
538-linear,1996,2,24-27,76,5.653260404200288,4.380538049932386,-0.6606658103611607,5.6145234779737665
538-squared,1996,2,24-27,76,5.623874618083751,4.360200084722221,-0.5410717420740695,5.597785909612441
