method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
carmelo-linear,2015,1,<=23,78,4.900465809702538,3.745872951212782,-0.07380378937710715,4.899910014759163
carmelo-squared,2015,1,<=23,78,4.9037567649248155,3.7508933210143427,-0.0732117317634417,4.903210219017546
538-linear,2015,1,<=23,78,4.868454445125817,3.692363179574636,-0.19123035524765258,4.864697280972084
538-squared,2015,1,<=23,78,4.8541498108072965,3.674512781298628,-0.19379609523439087,4.850279729998304
SPS,2015,2,24-27,85,5.32423594054509,4.128306799680072,-0.9577734651779111,5.237380866424853
carmelo-linear,2015,2,24-27,85,5.409976999635125,4.1542774307387385,-1.750340377139668,5.118999873093926
carmelo-squared,2015,2,24-27,85,5.424412227449464,4.161494403234357,-1.7355888697566417,5.13925863218423
538-linear,2015,2,24-27,85,5.449941521877066,4.269208461058342,-1.8996011285569194,5.1081677874033256
538-squared,2015,2,24-27,85,5.436932873235052,4.263352634170348,-1.883836142825465,5.100137297666449
SPS,2015,2,28-31,52,4.87033480479395,3.8959560798734616,1.1638430337585446,4.72923149185563
carmelo-linear,2015,2,28-31,52,5.011164284567619,4.289218155391425,-1.2026376383740873,4.864712755928359
carmelo-squared,2015,2,28-31,52,5.014715013156612,4.298284933846672,-1.2088812535981341,4.866823684691825
538-linear,2015,2,28-31,52,5.041437861273941,4.314622118576303,-1.4175493288554881,4.838041918932466
538-squared,2015,2,28-31,52,5.042235502655239,4.301280393155985,-1.377792203973239,4.850343029818354
SPS,2015,2,32-35,19,3.578564686908531,2.852007149735382,1.9383198179562724,3.0081624792731385
carmelo-linear,2015,2,32-35,19,3.026909753574195,2.392253671250093,-0.3238820328753943,3.0095320375538614
carmelo-squared,2015,2,32-35,19,3.0243415087435466,2.3960251665395216,-0.32388094176039894,3.0069490679214352
538-linear,2015,2,32-35,19,3.0412882186677774,2.4142362065515113,-0.5197595328503527,2.996545353739637
538-squared,2015,2,32-35,19,3.0074529311135008,2.386014101799448,-0.521480626297728,2.961896535880232
SPS,2015,2,36+,5,4.837262088524404,3.4481372440595037,0.6464436764078858,4.793872660627078
carmelo-linear,2015,2,36+,5,4.704532489635959,3.8221788686828915,-0.8105113149354104,4.634187885099394
carmelo-squared,2015,2,36+,5,4.686379778495744,3.8022364709848957,-0.739214635667113,4.627711869888763
538-linear,2015,2,36+,5,4.9684591668783655,4.509496438970039,-1.8441973126355642,4.613515228652164
538-squared,2015,2,36+,5,4.946570768068577,4.455801357253712,-1.886828913728473,4.572574659185871
SPS,2015,2,<=23,64,6.416311217006639,4.819183628154054,-1.963826126385667,6.1083906701201
carmelo-linear,2015,2,<=23,64,6.267004348602777,4.659662959835379,-1.3915415358367862,6.110560993840672
carmelo-squared,2015,2,<=23,64,6.268322070851891,4.662304886083234,-1.3873841286819428,6.112857503934668
538-linear,2015,2,<=23,64,6.183842545509362,4.633991269910411,-1.5077979000604769,5.997203858484797
538-squared,2015,2,<=23,64,6.150248370943679,4.614242690213116,-1.5188539895884734,5.959751469869071
SPS,2015,3,24-27,71,5.485706740247953,4.379475850275053,-0.41446775986018247,5.470026957523911
carmelo-linear,2015,3,24-27,71,5.554881811166964,4.434154895368999,-1.760252039462582,5.268607471960821
carmelo-squared,2015,3,24-27,71,5.572649801375484,4.443507247842263,-1.7512715493357744,5.290318872171819
538-linear,2015,3,24-27,71,5.578419770292703,4.552664683175145,-1.9385042294448442,5.230771308900528
538-squared,2015,3,24-27,71,5.543154276942006,4.554030905249941,-1.9065784612653534,5.204951287862307
SPS,2015,3,28-31,39,5.743391946154664,4.497413317010371,-0.06070692644487393,5.743071104925994
carmelo-linear,2015,3,28-31,39,6.688220729306904,5.484077160559119,-2.9616529850157245,5.996741458515453
